category,variable,varrSize,timesPointedTo,timesDereferenced,timesWrittenTo,timesReadFrom
0,Translation,8,1,0,0,0
0,Scale,8,1,0,0,0
0,Rotation,4,1,0,0,0
0,Translation,8,1,0,0,0
0,Scale,8,1,0,0,0
0,Rotation,4,1,0,0,0
0,ColliderPtr,8,0,0,1,1
0,UIComponentPtr,8,0,0,1,1
0,Matrix,64,0,0,0,0
0,Dirty Flag,1,0,0,242,237
0,Rotation,4,0,0,1,0
0,Scale,8,0,0,0,1
0,OldTranslation,8,0,0,1,0
0,Scale,8,0,0,1,89
0,Translation,8,0,0,0,92
1,ColliderPtr,8,0,0,1,1
1,UIComponentPtr,8,0,0,1,1
1,Matrix,64,0,0,0,0
1,Dirty Flag,1,0,0,80,77
1,Rotation,4,0,0,1,0
1,Scale,8,0,0,0,1
1,OldTranslation,8,0,0,1,0
1,Scale,8,0,0,1,147
1,Translation,8,0,0,0,176
2,ColliderPtr,8,0,0,1,1
2,UIComponentPtr,8,0,0,1,2
2,Matrix,64,0,0,0,0
2,Dirty Flag,1,0,0,81,77
2,Rotation,4,0,0,1,0
2,Scale,8,0,0,0,1
2,Translation,8,0,0,1,1
2,Scale,8,0,0,1,92
2,Translation,8,0,0,1,113
3,ColliderPtr,8,0,0,1,1
3,UIComponentPtr,8,0,0,1,2
3,Matrix,64,0,0,0,0
3,Dirty Flag,1,0,0,81,77
3,Rotation,4,0,0,1,0
3,Scale,8,0,0,0,1
3,Translation,8,0,0,1,1
3,Scale,8,0,0,1,81
3,Translation,8,0,0,1,84
116,ColliderPtr,8,0,0,0,0
116,UIComponentPtr,8,0,0,0,0
116,Matrix,64,0,0,0,0
116,Dirty Flag,1,0,0,0,0
57,Rotation,4,0,0,0,0
116,OldScale,8,0,0,0,0
116,OldTranslation,8,0,0,0,0
57,Scale,8,0,0,0,0
57,Translation,8,0,0,0,0
118,ColliderPtr,8,0,0,0,0
118,UIComponentPtr,8,0,0,0,0
118,Matrix,64,0,0,0,0
118,Dirty Flag,1,0,0,0,0
57,Rotation,4,0,0,0,0
118,OldScale,8,0,0,0,0
118,OldTranslation,8,0,0,0,0
57,Scale,8,0,0,0,0
57,Translation,8,0,0,0,0
120,ColliderPtr,8,0,0,0,0
120,UIComponentPtr,8,0,0,0,0
120,Matrix,64,0,0,0,0
120,Dirty Flag,1,0,0,0,0
61,Rotation,4,0,0,0,0
120,OldScale,8,0,0,0,0
120,OldTranslation,8,0,0,0,0
61,Scale,8,0,0,0,0
61,Translation,8,0,0,0,0
122,ColliderPtr,8,0,0,0,0
122,UIComponentPtr,8,0,0,0,0
122,Matrix,64,0,0,0,0
122,Dirty Flag,1,0,0,0,0
69,Rotation,4,0,0,0,0
122,OldScale,8,0,0,0,0
122,OldTranslation,8,0,0,0,0
69,Scale,8,0,0,0,0
69,Translation,8,0,0,0,0
124,ColliderPtr,8,0,0,0,0
124,UIComponentPtr,8,0,0,0,0
124,Matrix,64,0,0,0,0
124,Dirty Flag,1,0,0,0,0
62,Rotation,4,0,0,0,0
124,OldScale,8,0,0,0,0
124,OldTranslation,8,0,0,0,0
62,Scale,8,0,0,0,0
62,Translation,8,0,0,0,0
126,ColliderPtr,8,0,0,0,0
126,UIComponentPtr,8,0,0,0,0
126,Matrix,64,0,0,0,0
126,Dirty Flag,1,0,0,0,0
65,Rotation,4,0,0,0,0
126,OldScale,8,0,0,0,0
126,OldTranslation,8,0,0,0,0
65,Scale,8,0,0,0,0
65,Translation,8,0,0,0,0
128,ColliderPtr,8,0,0,0,0
128,UIComponentPtr,8,0,0,0,0
128,Matrix,64,0,0,0,0
128,Dirty Flag,1,0,0,0,0
66,Rotation,4,0,0,0,0
128,OldScale,8,0,0,0,0
128,OldTranslation,8,0,0,0,0
66,Scale,8,0,0,0,0
66,Translation,8,0,0,0,0
130,ColliderPtr,8,0,0,0,0
130,UIComponentPtr,8,0,0,0,0
130,Matrix,64,0,0,0,0
130,Dirty Flag,1,0,0,0,0
68,Rotation,4,0,0,0,0
130,OldScale,8,0,0,0,0
130,OldTranslation,8,0,0,0,0
68,Scale,8,0,0,0,0
